iter	Passed	Remaining
0	1	141
1	2	106
2	2	93
3	3	84
4	4	85
5	5	82
6	6	80
7	6	77
8	7	78
9	8	80
10	10	81
11	11	81
12	11	78
13	12	75
14	12	73
15	13	71
16	14	69
17	14	67
18	15	65
19	15	63
20	16	62
21	17	60
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	21	52
29	22	52
30	22	51
31	23	50
32	24	49
33	24	48
34	25	47
35	26	46
36	26	45
37	27	44
38	27	43
39	28	42
40	29	42
41	29	40
42	30	39
43	30	39
44	31	38
45	31	37
46	32	36
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	36	32
53	37	31
54	37	30
55	38	30
56	38	29
57	39	28
58	39	27
59	40	27
60	41	26
61	41	25
62	42	24
63	42	24
64	43	23
65	44	22
66	44	22
67	45	21
68	45	20
69	46	19
70	47	19
71	47	18
72	48	17
73	48	17
74	49	16
75	50	15
76	50	15
77	51	14
78	51	13
79	52	13
80	53	12
81	53	11
82	54	11
83	54	10
84	55	9
85	55	9
86	56	8
87	57	7
88	57	7
89	58	6
90	58	5
91	59	5
92	60	4
93	60	3
94	61	3
95	61	2
96	62	1
97	63	1
98	63	0
99	64	0
